Year,Location,Plant_Date,County,Date,LocMinTempF,LocMaxTempF,CIMIS,StatMinTempF,StatMaxTempF,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-17,60.6,92.5,Verona235,55.3,92.3,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-18,61.3,92.5,Verona235,55.3,91.9,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-19,62.5,87.3,Verona235,56.4,88.4,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-20,60.1,91.3,Verona235,55.9,92.6,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-21,59.6,84.9,Verona235,56.0,88.1,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-22,58.7,87.5,Verona235,55.3,89.7,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-23,56.9,84.1,Verona235,54.6,90.1,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-24,54.9,85.8,Verona235,49.5,93.2,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-25,55.0,87.0,Verona235,47.9,93.2,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-26,53.3,83.9,Verona235,51.0,89.5,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-27,54.7,82.5,Verona235,51.9,89.1,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-28,54.0,88.3,Verona235,51.4,87.2,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-29,53.3,84.2,Verona235,51.4,91.7,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-30,54.6,88.5,Verona235,55.3,92.6,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-08-31,56.6,85.8,Verona235,58.0,93.9,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-01,53.8,84.3,Verona235,56.0,90.3,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-02,53.4,87.4,Verona235,50.9,90.5,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-03,54.6,80.9,Verona235,54.5,86.9,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-04,53.4,79.1,Verona235,52.1,81.1,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-05,50.9,84.4,Verona235,47.6,90.2,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-06,49.4,87.7,Verona235,57.1,94.6,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-07,51.0,90.3,Verona235,62.2,95.8,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-08,55.1,91.9,Verona235,59.7,94.4,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-09,53.7,89.5,Verona235,52.5,94.9,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-10,55.6,90.2,Verona235,53.5,90.4,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-11,53.3,80.5,Verona235,53.5,80.0,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-12,52.8,75.1,Verona235,50.2,81.0,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-13,52.5,72.7,Verona235,47.2,77.4,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-14,47.4,80.7,Verona235,48.4,84.6,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
